Zone Name,Residential Low Rise,Residential High Rise,Commercial Low Rise,Commercial High Rise,Industrial,Engineering,
Zone1,51256,8000000,5000,5000,8000000,0,51256
Zone2,8000000,8000000,5000,5000,8000000,0,8000000
Zone3,8000000,5445547,5000,5000,8000000,0,8000000
Zone4,8000000,8000000,5000,5000,8000000,0,8000000
Zone5,8000000,8000000,6585,12589,8000000,0,8000000
Zone6,8000000,8000000,5000,5000,7891217,0,8000000
Zone7,8000000,8000000,5000,5000,8000000,0,8000000
Zone8,8000000,46589745,5000,5000,8000000,0,8000000
Zone9,8000000,8000000,5000,5000,8000000,0,8000000
Zone10,8000000,8000000,5000,5000,8000000,0,8000000
Zone11,8000000,8000000,5000,5000,8000000,0,8000000
Zone12,8000000,8000000,5000,5000,8000000,0,8000000
Zone13,8000000,8000000,5000,5000,8000000,0,8000000
Zone14,8000000,8000000,5000,5000,8000000,0,8000000
Zone15,8000000,8000000,5000,5000,8000000,0,8000000
